login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
leoroese,leoroese/iterm2-one-monokai,2023-03-11T20:36:18Z,0,0,,True,True,mit
JostineHo,JostineHo/data-science-primer,2016-01-11T15:33:08Z,2,2,,True,True,
mahanta-mayur,mahanta-mayur/RailNet-Internet-Intranet,2022-10-11T18:44:57Z,0,0,,True,True,
rfxn,rfxn/apache-mpm-settings,2018-02-09T22:38:40Z,0,0,Python,True,True,
sdnts,sdnts/prisma-playground,2020-05-09T14:30:56Z,4,4,TypeScript,True,True,
leachim6,leachim6/pynewspaper,2008-06-24T16:22:13Z,2,2,Python,True,True,
rphillips,rphillips/clearsilver,2008-10-15T02:18:47Z,9,9,,True,True,other
robswc,robswc/fips-codes,2020-03-17T22:58:03Z,0,0,,True,True,
mtscout6,mtscout6/bundler,2011-06-17T22:08:19Z,0,0,Ruby,True,True,mit
teleject,teleject/html5-boilerplate,2010-10-11T17:12:03Z,1,1,JavaScript,True,True,
anibalsolon,anibalsolon/anthill,2014-10-14T19:15:58Z,0,0,Java,True,True,
mayoff,mayoff/WindowStackOrganizer,2016-01-15T17:21:16Z,1,1,Objective-C,True,True,
ftarlaci,ftarlaci/github-cheat-sheet,2016-08-06T03:07:21Z,0,0,,True,False,mit
ftarlaci,ftarlaci/github-cheat-sheet,2016-08-06T03:07:21Z,0,0,,True,False,mit
atxsinn3r,atxsinn3r/EyeDiff,2017-06-19T16:36:47Z,19,19,Ruby,True,True,bsd-3-clause
linyiru,linyiru/FuturesBot,2014-05-28T11:54:16Z,0,0,Java,True,True,other
todb,todb/test-project-plz-ignore,2012-06-25T19:02:47Z,2,2,,True,True,
austintoddj,austintoddj/codewars,2017-07-05T13:50:52Z,4,4,PHP,True,True,
mcg1969,mcg1969/pywin32,2015-06-26T15:29:34Z,0,0,C++,True,True,
KensoDev,KensoDev/Sample-Project-Management-,2012-02-19T20:41:07Z,1,1,,True,True,
hartator,hartator/magic,2010-06-17T10:52:00Z,1,1,,True,True,
ericlaw1979,ericlaw1979/fiddler-extension,2014-06-17T20:45:28Z,0,0,C#,True,True,apache-2.0
pifantastic,pifantastic/O2,2010-02-21T00:25:12Z,2,2,JavaScript,True,True,
sagivo,sagivo/XML-to-NSDictionary,2012-10-28T23:10:52Z,0,0,Objective-C,True,True,mit
pfuri,pfuri/ispc3-migration,2014-05-07T20:16:46Z,15,15,Shell,True,True,gpl-3.0
loweryaustin,loweryaustin/st,2018-12-09T00:51:35Z,0,0,C,True,True,mit
mattdeboard,mattdeboard/pf_random,2010-10-28T14:41:32Z,2,2,,True,True,
Robdel12,Robdel12/robdel12.github.io,2013-08-02T04:08:29Z,0,0,CSS,True,True,
acmacalister,acmacalister/bnr-cocoa-programming,2013-04-16T13:21:59Z,0,0,Objective-C,True,True,
MalwareArchaeology,MalwareArchaeology/ATTACK,2018-11-08T18:39:14Z,331,331,,True,True,gpl-3.0
hari-sikchi,hari-sikchi/hector_slam,2016-08-28T05:21:37Z,0,0,C++,True,False,
omniedgeio,omniedgeio/n2n-macOS,2022-01-15T14:50:07Z,0,0,C,True,True,
adamchalmers,adamchalmers/shopliscrape,2014-10-19T11:55:06Z,0,0,Python,True,True,
Jmeyer1292,Jmeyer1292/rms,2015-02-22T08:00:03Z,0,0,C++,True,True,
keppel,keppel/hashcash-token,2014-07-04T23:31:11Z,6,6,JavaScript,True,True,
jrf0110,jrf0110/pubsubz,2012-09-30T16:24:00Z,0,0,JavaScript,True,True,
1000hz,1000hz/hubot-scripts,2013-07-25T20:22:44Z,0,0,CoffeeScript,True,True,mit
coreyward,coreyward/how-far-away-was-that-lightning,2010-11-04T20:08:26Z,1,1,JavaScript,True,True,
mikebrow,mikebrow/Spoon-Knife,2015-06-05T21:52:08Z,0,0,HTML,True,True,
